variable,MSE,Intercept,coefficients
BattingAvg,1436804.864395503,-985.7064031308721,8665.704395998297
OnBasePct,1382653.4078886632,-1535.8986640004225,8594.618468461356
Runs,906051.5052324844,-34.287539593397696,27.470858539936142
Hits,948824.5102871986,-129.4892947368619,14.843915369228784
Doubles,1038189.3250312803,106.30793065196508,68.5047566062089
Triples,1464413.0181500674,980.3441063392897,114.69293929398398
HomeRuns,1009301.7112177802,531.4909492677631,78.81329096437177
RBI,857556.3969347114,14.176301298814906,28.040214793548998
Walks,1052319.8390911934,257.31184734187536,28.306067913379206
Strikeouts,1291287.0901083099,405.6697083118313,14.863595410722809
StolenBases,1456266.498491766,1026.6862012283382,26.902033172382165
