combination,R2,MSE
['BattingAvg'],0.06023543986479925,1430595.9952031022
['OnBasePct'],0.10166509697348121,1376808.9549493361
['Runs'],0.4081472575026508,905928.6657393839
['Hits'],0.36836005235897273,952029.669241607
['Doubles'],0.30255685811929867,1045303.2556107584
['Triples'],0.03467776523046735,1464995.9479569728
['HomeRuns'],0.33355443679552527,1011673.2020625506
['RBI'],0.42940339369634284,859709.4666649823
['Walks'],0.3190835251532764,1048907.8352804566
['Strikeouts'],0.15214171415095032,1290988.867535198
['StolenBases'],0.053003693561368935,1442841.6152038267
"['BattingAvg', 'OnBasePct']",0.08551588841022853,1400474.1014495175
"['BattingAvg', 'Runs']",0.4062595803374608,908915.2122354403
"['BattingAvg', 'Hits']",0.36962612478502355,950227.8900652785
"['BattingAvg', 'Doubles']",0.29718248017272203,1052755.9643278623
"['BattingAvg', 'Triples']",0.07645389911096037,1402296.0633339272
"['BattingAvg', 'HomeRuns']",0.3532280032651503,981483.1968875888
"['BattingAvg', 'RBI']",0.42619583498214036,864247.7677702783
"['BattingAvg', 'Walks']",0.32907710825209724,1032970.4655500964
"['BattingAvg', 'Strikeouts']",0.20746782969571126,1205441.0592370625
"['BattingAvg', 'StolenBases']",0.1028742526529729,1365535.280415841
"['OnBasePct', 'Runs']",0.4057399695285578,909516.0131176083
"['OnBasePct', 'Hits']",0.36835989805433483,952623.7798426347
"['OnBasePct', 'Doubles']",0.30784932573163426,1039820.0400284512
"['OnBasePct', 'Triples']",0.11959472330516618,1344857.1344214478
"['OnBasePct', 'HomeRuns']",0.3536274150117997,983499.4771080656
"['OnBasePct', 'RBI']",0.4288159616178313,861182.8844970043
"['OnBasePct', 'Walks']",0.3170404610846396,1051825.7332608192
"['OnBasePct', 'Strikeouts']",0.21553292514273395,1199483.731804767
"['OnBasePct', 'StolenBases']",0.1334123297593917,1326709.5815987433
"['Runs', 'Hits']",0.39201284872392933,928280.5355732662
"['Runs', 'Doubles']",0.3871652970164309,933799.8959801511
"['Runs', 'Triples']",0.4225866282745049,886447.9948291823
"['Runs', 'HomeRuns']",0.44741333550403584,843453.8619420945
"['Runs', 'RBI']",0.45005338607187995,832976.501378795
"['Runs', 'Walks']",0.4057950871221211,912219.0055171924
"['Runs', 'Strikeouts']",0.4084848490677417,905581.5417857154
"['Runs', 'StolenBases']",0.41648441331005087,893454.129207132
"['Hits', 'Doubles']",0.35585406244180395,968081.1954340892
"['Hits', 'Triples']",0.3781146278883531,939074.0908411273
"['Hits', 'HomeRuns']",0.4394954900688905,847252.2218365341
"['Hits', 'RBI']",0.43305765267945995,854429.2192556007
"['Hits', 'Walks']",0.3900793053093671,928901.3693693031
"['Hits', 'Strikeouts']",0.3656567748402786,955976.9102277777
"['Hits', 'StolenBases']",0.3672155378058358,953564.3627106443
